name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,link_image
AMD Ryzen 3 2200G,,4,3.5,3.7,Zen,65,Radeon Vega 8,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_SX466_.jpg
AMD Ryzen 5 2400G,115.0,4,3.6,3.9,Zen,65,Radeon Vega 11,https://m.media-amazon.com/images/I/81ewjd+T6rL._AC_SX466_.jpg
Intel Core i5-12500,179.92,6,3.0,4.6,Alder Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51DY7a--LrL._AC_SX466_.jpg
AMD Ryzen 5 5600X3D,,6,3.3,4.4,Zen 3,105,,https://m.media-amazon.com/images/I/51ld6RR8IrL._AC_SY741_.jpg
Intel Core i3-9100F,75.0,4,3.6,4.2,Coffee Lake Refresh,65,,https://m.media-amazon.com/images/I/71gS+AnkfAL._AC_SX466_.jpg
Intel Core i5-8500,170.0,6,3.0,4.1,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/91OeIuA2SBL._AC_SX466_.jpg
Intel Core i5-11600K,,6,3.9,4.9,Rocket Lake,125,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/71O49ggEIrL._AC_SX466_.jpg
Intel Core i5-7500T,55.0,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630,https://m.media-amazon.com/images/I/91ARI9JRUDL._AC_SX466_.jpg
Intel Core i5-4590,,4,3.3,3.7,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/91qYWeAwmcL._AC_SX466_.jpg
AMD Ryzen 5 1600 (12nm),99.0,6,3.2,3.6,Zen+,65,,https://m.media-amazon.com/images/I/61jisDA2N5L._AC_SX466_.jpg
AMD Athlon 3000G (14nm),98.79,2,3.5,,Zen,35,Radeon Vega 3,https://m.media-amazon.com/images/I/61THc9DLMCL._AC_SX466_.jpg
Intel Core i7-10700KF,245.0,8,3.8,5.1,Comet Lake,125,,https://m.media-amazon.com/images/I/714-1OvyFIL._AC_SX466_.jpg
Intel Core i7-3770K,,4,3.5,,Ivy Bridge,77,Intel HD Graphics 4000,https://m.media-amazon.com/images/I/715GYG-GljL._AC_SX466_.jpg
AMD Ryzen 9 3900XT,,12,3.8,4.7,Zen 2,105,,https://m.media-amazon.com/images/I/7122uH4-hfL._AC_SX466_.jpg
Intel Core i3-10105F,143.53,4,3.7,4.4,Comet Lake,65,,https://m.media-amazon.com/images/I/51C8njBn7mL._AC_SX466_.jpg
Intel Core i5-7600,55.8,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61Ncs8w2YNL._AC_SX466_.jpg
Intel Core i7-9700KF,395.02,8,3.6,4.9,Coffee Lake Refresh,95,,https://m.media-amazon.com/images/I/71Q5sdPHD-L._AC_SX466_.jpg
Intel Core i7-4770,177.0,4,3.4,3.9,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/71-vys5MrgL._AC_SX466_.jpg
Intel Core i5-3470,95.46,4,3.2,,Ivy Bridge,77,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/71KQcI1TfpL._AC_SX466_.jpg
AMD FX-8350,,8,4.0,,Piledriver,125,,https://m.media-amazon.com/images/I/614qlodNVuL._AC_SX466_.jpg
AMD Ryzen 7 3700X,,8,3.6,4.4,Zen 2,65,,https://m.media-amazon.com/images/I/616VM20+AzL._AC_SX679_.jpg
AMD Ryzen 5 1600X,99.0,6,3.6,4.0,Zen,95,,https://m.media-amazon.com/images/I/51aCN2BHxjL._AC_SX466_.jpg
AMD 2650,,2,1.45,,Jaguar,25,Radeon HD 8240,https://m.media-amazon.com/images/I/61dukbEGziL._AC_SX466_.jpg
Intel Core i7-11700KF,354.57,8,3.6,5.0,Rocket Lake,125,,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
Intel Core i3-4150,35.0,2,3.5,,Haswell Refresh,54,Intel HD Graphics 4400,https://m.media-amazon.com/images/I/71vs-55nheL._AC_SX466_.jpg
Intel Core i7-11700,377.99,8,2.5,4.9,Rocket Lake,65,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/71XxNceg4cL._AC_SX466_.jpg
Intel Core Ultra 5 245KF,284.99,14,4.2,5.2,Arrow Lake,125,,https://m.media-amazon.com/images/I/51ppFJC5HWL._AC_SX466_.jpg
Intel Core i7-6950X,,10,3.0,3.5,Broadwell,140,,https://m.media-amazon.com/images/I/617UtL3ozXL._AC_SX466_.jpg
Intel Core i5-7600K,182.89,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,https://m.media-amazon.com/images/I/71GY6jdAVHL._AC_SX466_.jpg
AMD Ryzen 5 3500,,6,3.6,4.1,Zen 2,65,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i3-13100,125.25,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/619GUXiTq6L._AC_SX466_.jpg
Intel Core i9-11900KF,399.0,8,3.5,5.3,Rocket Lake,125,,https://m.media-amazon.com/images/I/71mWLdyy02L._AC_SX466_.jpg
AMD Ryzen 7 1700X,428.88,8,3.4,3.8,Zen,95,,https://m.media-amazon.com/images/I/61d5eSkfnpL._AC_SX466_.jpg
AMD Ryzen 7 3800XT,,8,3.9,4.7,Zen 2,105,,https://m.media-amazon.com/images/I/51kIHB4GNYL._AC_SX466_.jpg
Intel Core i5-9400F,,6,2.9,4.1,Coffee Lake Refresh,65,,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i7-13700,319.93,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61QIlqafQWL._AC_SX466_.jpg
AMD Ryzen 3 3300X,110.99,4,3.8,4.3,Zen 2,65,,https://m.media-amazon.com/images/I/61L6qbhLx0L._AC_SX466_.jpg
Intel Core i9-14900F,499.0,24,2.0,5.8,Raptor Lake Refresh,65,,https://m.media-amazon.com/images/I/619ytLAytAL._AC_SX466_.jpg
AMD Ryzen 7 1800X,135.0,8,3.6,4.0,Zen,95,,https://m.media-amazon.com/images/I/51wsKyF-FlL._AC_SX466_.jpg
AMD Ryzen 5 3600XT,609.9,6,3.8,4.5,Zen 2,95,,https://m.media-amazon.com/images/I/71u+mYxe+UL._AC_SX466_.jpg
Intel Core i5-4570,98.0,4,3.2,,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/71s4ZeSCOZL._AC_SX466_.jpg
AMD Ryzen 5 7600X3D,,6,4.1,4.7,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51D3DrDmwkL._AC_SX679_.jpg
Intel Core i5-11600KF,169.89,6,3.9,4.9,Rocket Lake,125,,https://m.media-amazon.com/images/I/71O49ggEIrL._AC_SX466_.jpg
Intel Core i5-2400,49.99,4,3.1,,Sandy Bridge,95,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/61vetwwdjrL._AC_SX466_.jpg
Intel Core i5-9600KF,169.69,6,3.7,4.6,Coffee Lake Refresh,95,,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i5-9400,149.94,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i3-10105,99.0,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61mHdcn-DIL._AC_SX466_.jpg
Intel Core i5-4460,68.56,4,3.2,3.4,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/61Pa8F2Rq1L._AC_SX466_.jpg
AMD Ryzen 3 1200 (14nm),70.0,4,3.1,3.4,Zen,65,,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_SX466_.jpg
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,,https://m.media-amazon.com/images/I/616VM20+AzL._AC_SX679_.jpg
Intel Core i5-10600KF,236.92,6,4.1,4.8,Comet Lake,125,,https://m.media-amazon.com/images/I/51ldM0r7NML._AC_SX466_.jpg
AMD Ryzen 5 1400,79.98,4,3.2,3.4,Zen,65,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i5-6400,,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/81aeUW+UPhL._AC_SX466_.jpg
Intel Core i7-6800K,72.98,6,3.4,3.6,Broadwell,140,,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
Intel Core i5-4570T,49.0,2,2.9,,Haswell,35,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/81FWf9Uo++L._AC_SX466_.jpg
AMD Ryzen 5 5600T,160.19,6,3.5,4.5,Zen 3,65,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i7-8700K,255.04,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71ZUt47fgeL._AC_SX466_.jpg
AMD Threadripper 2920X,199.1,12,3.5,4.3,Zen+,180,,https://m.media-amazon.com/images/I/5168KoArl4L._AC_SX466_.jpg
Intel Core i3-9100,108.89,4,3.6,4.2,Coffee Lake Refresh,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71utbcF8g8L._AC_SX466_.jpg
Intel Core i3-7100,36.99,2,3.9,,Kaby Lake,51,Intel HD Graphics 630,https://m.media-amazon.com/images/I/81Tts66fxAL._AC_SX466_.jpg
Intel Core i9-10900KF,,10,3.7,5.3,Comet Lake,125,,https://m.media-amazon.com/images/I/61hr7fNaHRL._AC_SX466_.jpg
Intel Xeon E5-2687W V4,2282.01,12,3.0,3.5,Broadwell,160,,https://m.media-amazon.com/images/I/51ZvbzXlTXL._AC_SX466_.jpg
AMD FX-6300,,6,3.5,,Piledriver,95,,https://m.media-amazon.com/images/I/81X4pIqFQ4L._AC_SX466_.jpg
Intel Core i9-14900,571.86,24,2.0,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/619ytLAytAL._AC_SX466_.jpg
Intel Core i9-9900KS,1389.0,8,4.0,5.0,Coffee Lake Refresh,127,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61qUfPKfqJL._AC_SX466_.jpg
Intel Core i5-9500,198.69,6,3.0,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71KOqCznI3L._AC_SX466_.jpg
Intel Core i7-2600,189.69,4,3.4,,Sandy Bridge,95,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/61x0-NbkOqL._AC_SX466_.jpg
AMD Ryzen 5 1500X,149.99,4,3.5,3.7,Zen,65,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i5-10500,229.95,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61juA4lrX6L._AC_SX466_.jpg
Intel Core i9-10980XE,1004.04,18,3.0,4.8,Cascade Lake,165,,https://m.media-amazon.com/images/I/61mBrF1jNuL._AC_SX466_.jpg
Intel Core i9-7900X,264.99,10,3.3,4.5,Skylake,140,,https://m.media-amazon.com/images/I/51klBAsxGHL._AC_SX466_.jpg
Intel Core i5-3570K,128.99,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000,https://m.media-amazon.com/images/I/71l1+BfZyGL._AC_SX466_.jpg
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51OEiWrUtqL._AC_SX466_.jpg
Intel Core i7-4790K,130.51,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51k9DlVz1QL._AC_.jpg
Intel Core i3-4130,41.0,2,3.4,,Haswell,54,Intel HD Graphics 4400,https://m.media-amazon.com/images/I/71vYUcOO8BL._AC_SX466_.jpg
Intel Core i5-4690,52.0,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51EO3vvyfvL._AC_SX466_.jpg
Intel Core i5-8400,198.95,6,2.8,4.0,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61f9PJBb53L._AC_SX466_.jpg
AMD Threadripper 1950X,850.0,16,3.4,4.0,Zen,180,,https://m.media-amazon.com/images/I/91tyRn-5lDL._AC_SX466_.jpg
Intel Core i7-5820K,,6,3.3,3.6,Haswell,140,,https://m.media-amazon.com/images/I/91i7qFINxJL._AC_SX466_.jpg
Intel Core i5-6600,,4,3.3,3.9,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/91oQbOQH0JL._AC_SX466_.jpg
Intel Core i7-8700,,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71ZUt47fgeL._AC_SX466_.jpg
Intel Celeron G6900,93.71,2,3.4,,Alder Lake,46,Intel UHD Graphics 710,https://m.media-amazon.com/images/I/41mB2NeUprL._AC_.jpg
AMD EPYC 4244P,189.33,6,3.8,5.1,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/51sUNMCtDpL._AC_SX466_.jpg
Intel Core i9-13900,414.99,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61amK1Xri+L._AC_SX466_.jpg
Intel Pentium Gold G7400,90.0,2,3.7,,Alder Lake,46,Intel UHD Graphics 710,https://m.media-amazon.com/images/I/51tHbftXrJL._AC_SX466_.jpg
Intel Core i9-9940X,1950.0,14,3.3,4.4,Skylake,165,,https://m.media-amazon.com/images/I/91YH5DjWbeL._AC_SX466_.jpg
AMD Athlon 200GE,69.98,2,3.2,,Zen,35,Radeon Vega 3,https://m.media-amazon.com/images/I/61WQw1tIlvL._AC_SX466_.jpg
Intel Core i7-4790,,4,3.6,4.0,Haswell Refresh,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/51k9DlVz1QL._AC_.jpg
Intel Core i5-2500K,100.0,4,3.3,,Sandy Bridge,95,Intel HD Graphics 3000,https://m.media-amazon.com/images/I/81scYFwjo1L._AC_SX466_.jpg
AMD Threadripper 1920X,195.0,12,3.5,4.0,Zen,180,,https://m.media-amazon.com/images/I/5168KoArl4L._AC_SX466_.jpg
Intel Core i5-8500T,125.0,6,2.1,3.5,Coffee Lake,35,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/818KAP71ZBL._AC_SX466_.jpg
Intel Core 2 Duo E8400,27.55,2,3.0,,Wolfdale,65,,https://m.media-amazon.com/images/I/619sM5p4zeL._AC_SX466_.jpg
Intel Xeon E3-1220 V6,25.0,4,3.0,3.5,Kaby Lake,72,,https://m.media-amazon.com/images/I/717NVQLxphL._AC_SX466_.jpg
Intel Core i5-3570,,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/71l1+BfZyGL._AC_SX466_.jpg
Intel Pentium Gold G5420,29.0,2,3.8,,Coffee Lake,54,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/51IBooZSaJL._AC_SX466_.jpg
Intel Pentium G4400,50.0,2,3.3,,Skylake,54,Intel HD Graphics 510,https://m.media-amazon.com/images/I/81-u7B0Ky0L._AC_SX466_.jpg
Intel Core i5-12600,249.99,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51ugNYlDT1L._AC_SX466_.jpg
Intel Celeron 420,69.95,1,1.6,,Core,35,,https://m.media-amazon.com/images/I/41Zi99KNRkL._AC_SX466_.jpg
Intel Core i9-10900F,,10,2.8,5.2,Comet Lake,65,,https://m.media-amazon.com/images/I/61hr7fNaHRL._AC_SX466_.jpg
AMD A6-6400K,,2,3.9,,Piledriver,65,Radeon HD 8470D,https://m.media-amazon.com/images/I/716PJmXKFlL._AC_SX466_.jpg
Intel Core i9-10900,390.77,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61hr7fNaHRL._AC_SX466_.jpg
Intel Celeron G5900,45.2,2,3.4,,Comet Lake,58,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/61qHk9Q7KRL._AC_SX466_.jpg
Intel Core i9-10900X,479.99,10,3.7,4.7,Cascade Lake,165,,https://m.media-amazon.com/images/I/61mBrF1jNuL._AC_SX466_.jpg
Intel Core i5-4670K,105.86,4,3.4,,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/81scYFwjo1L._AC_SX466_.jpg
Intel Core i5-6500,149.94,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,https://m.media-amazon.com/images/I/51XzIVYaucL._AC_SX466_.jpg
Intel Core i9-9900K,954.81,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61qUfPKfqJL._AC_SX466_.jpg
AMD Threadripper 2970WX,898.88,24,3.0,4.2,Zen+,250,,https://m.media-amazon.com/images/I/61fqEHg5ieL._AC_SX466_.jpg
Intel Core i9-9820X,,10,3.3,4.1,Skylake,165,,https://m.media-amazon.com/images/I/81t4McdI7PL._AC_SX466_.jpg
AMD Ryzen 9 3900X,,12,3.8,4.6,Zen 2,105,,https://m.media-amazon.com/images/I/51S-lEYQZJL._AC_SX466_.jpg
Intel Core i5-13500T,,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51axr2Y+xOL._AC_SX466_.jpg
Intel Core i9-13900F,516.43,24,2.0,5.6,Raptor Lake,65,,https://m.media-amazon.com/images/I/51nrLoxJKSL._AC_SX466_.jpg
Intel Xeon E5-1650 V4,114.94,6,3.6,4.0,Broadwell,140,,https://m.media-amazon.com/images/I/71vBhRHWklL._AC_SY679_.jpg
Intel Core i5-11600,140.0,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/71eNybJyWiL._AC_SX466_.jpg
Intel Core i7-8086K,343.12,6,4.0,5.0,Coffee Lake,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/51AqEkc2BuL._AC_SX466_.jpg
AMD EPYC 4464P,429.99,12,3.7,5.4,Zen 4,65,Radeon,https://m.media-amazon.com/images/I/61TN6xIVd2L._AC_SX466_.jpg
Intel Xeon E5-2690 V2,,10,3.0,3.6,Ivy Bridge,130,,https://m.media-amazon.com/images/I/611nL9WedjL._AC_SY679_.jpg
Intel Core i7-2600K,255.55,4,3.4,,Sandy Bridge,95,Intel HD Graphics 3000,https://m.media-amazon.com/images/I/91vUJpgWLEL._AC_SX466_.jpg
Intel Core i7-9700K,,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71Q5sdPHD-L._AC_SX466_.jpg
Intel Core i5-11500,160.0,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/71CWKCABrqL._AC_SX466_.jpg
AMD Ryzen 5 2600,,6,3.4,3.9,Zen+,65,,https://m.media-amazon.com/images/I/61rRk4Ah6bL._AC_SX466_.jpg
Intel Core i7-7700K,,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,https://m.media-amazon.com/images/I/71uF-tSNIqL._AC_SX466_.jpg
AMD FX-6350,,6,3.9,,Piledriver,125,,https://m.media-amazon.com/images/I/41YuieIyf8L._AC_SX466_.jpg
Intel Core i9-9900,419.69,8,3.1,5.0,Coffee Lake Refresh,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
AMD Ryzen 5 5600XT,,6,3.7,4.7,Zen 3,65,,https://m.media-amazon.com/images/I/51kIHB4GNYL._AC_SX466_.jpg
Intel Core i9-11900F,329.0,8,2.5,5.2,Rocket Lake,65,,https://m.media-amazon.com/images/I/71vfrQatEIL._AC_SX466_.jpg
Intel Core i7-6850K,85.0,6,3.6,3.8,Broadwell,140,,https://m.media-amazon.com/images/I/81Weh581GCL._AC_SX466_.jpg
AMD FX-9590,292.58,8,4.7,5.0,Piledriver,220,,https://m.media-amazon.com/images/I/61oPXi6DNAL._AC_SX466_.jpg
Intel Core i9-12900F,359.89,16,2.4,5.1,Alder Lake,65,,https://m.media-amazon.com/images/I/51CUAct4KVL._AC_SX466_.jpg
Intel Celeron G5905,51.79,2,3.5,,Comet Lake,58,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/61MK1-o4adL._AC_SX466_.jpg
Intel Core i9-12900,391.4,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/51CUAct4KVL._AC_SX466_.jpg
Intel Core i5-14500T,,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61LuKyXGbKL._AC_SX466_.jpg
Intel Core i7-4770S,99.0,4,3.1,,Haswell,65,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/71-vys5MrgL._AC_SX466_.jpg
Intel Core i7-4930K,98.0,6,3.4,3.9,Ivy Bridge,130,,https://m.media-amazon.com/images/I/716p22IM2NL._AC_SX466_.jpg
Intel Core i5-8600,189.0,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61NqeCC8A6L._AC_SX466_.jpg
Intel Core i5-4440,100.0,4,3.1,3.3,Haswell,84,Intel HD Graphics 4600,https://m.media-amazon.com/images/I/81WEfpuGtZL._AC_SX466_.jpg
Intel Core i7-6700K,,4,4.0,4.2,Skylake,91,Intel HD Graphics 530,https://m.media-amazon.com/images/I/812WLoBXlfL._AC_SX466_.jpg
AMD Athlon X2 340,,2,3.2,,Piledriver,65,,https://m.media-amazon.com/images/I/41OYLVfCX+L._AC_.jpg
Intel Celeron G3930,28.5,2,2.9,,Kaby Lake,51,Intel HD Graphics 610,https://m.media-amazon.com/images/I/61mLWjewyvL._AC_SX466_.jpg
Intel Pentium G4560,59.0,2,3.5,,Kaby Lake,54,Intel HD Graphics 610,https://m.media-amazon.com/images/I/51RooKlTlhL._AC_SX466_.jpg
AMD Ryzen 3 3200G,,4,3.6,4.0,Zen+,65,Radeon Vega 8,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_SX466_.jpg
AMD FX-8320,,8,3.5,,Piledriver,125,,https://m.media-amazon.com/images/I/81v31DmsZcL._AC_SX466_.jpg
AMD Ryzen 5 3400G,,4,3.7,4.2,Zen+,65,Radeon Vega 11,https://m.media-amazon.com/images/I/71rKDRYq77L._AC_SX466_.jpg
Intel Core i3-530,45.0,2,2.93,,Westmere,73,Intel HD Graphics,https://m.media-amazon.com/images/I/81SYPcDmaIL._AC_SX466_.jpg
Intel Core i3-12100T,,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730,https://m.media-amazon.com/images/I/51Xik7NRvJL._AC_SX466_.jpg
Intel Xeon E5-2650 V4,,12,2.2,2.9,Broadwell,105,,https://m.media-amazon.com/images/I/81jC3EvIU6L._AC_SX466_.jpg
AMD Ryzen 3 1300X,,4,3.5,3.7,Zen,65,,https://m.media-amazon.com/images/I/81b75EQJrgL._AC_SX466_.jpg
Intel Core i5-9600,213.69,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61izuBZSVOL._AC_SX466_.jpg
Intel Core i7-7700,140.0,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,https://m.media-amazon.com/images/I/61vkuZN5JsL._AC_SX466_.jpg
Intel Core i3-3220,,2,3.3,,Ivy Bridge,55,Intel HD Graphics 2500,https://m.media-amazon.com/images/I/61nz3PogQ8L._AC_SX466_.jpg
Intel Core i5-10600,529.95,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Pentium Gold G6600,186.19,2,4.2,,Comet Lake,58,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/71l-e2+Wi9L._AC_SX466_.jpg
Intel Xeon E5-2698 V4,,20,2.2,3.6,Broadwell,135,,https://m.media-amazon.com/images/I/61eCjz2aKJL._AC_SX466_.jpg
AMD Athlon II X2 240,29.48,2,2.8,,K10,65,,https://m.media-amazon.com/images/I/31WPtAE+c4L._AC_.jpg
Intel Core i9-10920X,769.87,12,3.5,4.8,Cascade Lake,165,,https://m.media-amazon.com/images/I/81eoV5SY8RL._AC_SX466_.jpg
Intel Core i7-2700K,195.86,4,3.5,,Sandy Bridge,95,Intel HD Graphics 3000,https://m.media-amazon.com/images/I/81SNhV5VolL._AC_SX466_.jpg
Intel Core i3-7100T,29.0,2,3.4,,Kaby Lake,35,Intel HD Graphics 630,https://m.media-amazon.com/images/I/51ar56B-zyL._AC_SX466_.jpg
Intel Core i9-9900K (Standard Folding Box),565.0,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630,https://m.media-amazon.com/images/I/61qUfPKfqJL._AC_SX466_.jpg
Intel Core i7-7820X,1224.41,8,3.6,4.5,Skylake,140,,https://m.media-amazon.com/images/I/91tB81ap2qL._AC_SX466_.jpg
Intel Xeon E5-2630 V4,255.06,10,2.2,3.1,Broadwell,85,,https://m.media-amazon.com/images/I/412c8ayA37L._AC_SX466_.jpg
Intel Core i9-13900T,,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770,https://m.media-amazon.com/images/I/61amK1Xri+L._AC_SX466_.jpg
AMD FX-8300,111.37,8,3.3,,Piledriver,95,,https://m.media-amazon.com/images/I/71wfycSqaoL._AC_SX466_.jpg
AMD A4-6300,46.79,2,3.7,3.9,Piledriver,65,Radeon HD 8370D,https://m.media-amazon.com/images/I/51wWlCoYv3L._AC_SX466_.jpg
AMD Ryzen 7 3800X,,8,3.9,4.5,Zen 2,105,,https://m.media-amazon.com/images/I/71pKM87P6nL._AC_SY741_.jpg
Intel Core i7-7800X,499.99,6,3.5,4.0,Skylake,140,,https://m.media-amazon.com/images/I/711rWBe64VL._AC_SX466_.jpg
Intel Core i9-11900,390.99,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750,https://m.media-amazon.com/images/I/71vfrQatEIL._AC_SX466_.jpg
Intel Pentium Gold G6400,66.95,2,4.0,,Comet Lake,58,Intel UHD Graphics 610,https://m.media-amazon.com/images/I/71l-e2+Wi9L._AC_SX466_.jpg
Intel Xeon E5-2667 V3,298.95,8,3.2,3.6,Haswell,135,,https://m.media-amazon.com/images/I/81Q9tQuVCVL._AC_SY879_.jpg
Intel 300,105.36,2,3.9,,Raptor Lake Refresh,46,Intel UHD Graphics 710,https://m.media-amazon.com/images/I/51IBooZSaJL._AC_SX466_.jpg
Intel Xeon E5-4620,58.77,8,2.2,2.6,Sandy Bridge,95,,https://m.media-amazon.com/images/I/618BDFLRn3L._AC_SX466_.jpg
AMD Ryzen 5 2600X,,6,3.6,4.2,Zen+,95,,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_SX466_.jpg
Intel Core i7-5960X,,8,3.0,3.5,Haswell,140,,https://m.media-amazon.com/images/I/91wsIL5zDGL._AC_SX466_.jpg
AMD Threadripper 2990WX,,32,3.0,4.2,Zen+,250,,https://m.media-amazon.com/images/I/71l3hGv+A1L._AC_SX466_.jpg
Intel Core i3-2100,49.0,2,3.1,,Sandy Bridge,65,Intel HD Graphics 2000,https://m.media-amazon.com/images/I/81RcQUWIN9L._AC_SX466_.jpg
AMD Threadripper 2950X,,16,3.5,4.4,Zen+,180,,https://m.media-amazon.com/images/I/61ISSSA+x+L._AC_SX466_.jpg
AMD Ryzen 5 3600X,,6,3.8,4.4,Zen 2,95,,https://m.media-amazon.com/images/I/81b75EQJrgL._AC_SX466_.jpg
